grafana-1  | logger=migrator t=2025-06-25T22:04:34.601987262Z level=debug msg="Skipping migration: Already executed" id="drop table dashboard_v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601989326Z level=debug msg="Skipping migration: Already executed" id="alter dashboard.data to mediumtext v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601991604Z level=debug msg="Skipping migration: Already executed" id="Add column updated_by in dashboard - v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601992955Z level=debug msg="Skipping migration: Already executed" id="Add column created_by in dashboard - v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601994377Z level=debug msg="Skipping migration: Already executed" id="Add column gnetId in dashboard"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601996777Z level=debug msg="Skipping migration: Already executed" id="Add index for gnetId in dashboard"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601998352Z level=debug msg="Skipping migration: Already executed" id="Add column plugin_id in dashboard"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.601999708Z level=debug msg="Skipping migration: Already executed" id="Add index for plugin_id in dashboard"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602002493Z level=debug msg="Skipping migration: Already executed" id="Add index for dashboard_id in dashboard_tag"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602004454Z level=debug msg="Skipping migration: Already executed" id="Update dashboard table charset"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602006475Z level=debug msg="Skipping migration: Already executed" id="Update dashboard_tag table charset"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602008383Z level=debug msg="Skipping migration: Already executed" id="Add column folder_id in dashboard"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60201012Z level=debug msg="Skipping migration: Already executed" id="Add column isFolder in dashboard"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602011722Z level=debug msg="Skipping migration: Already executed" id="Add column has_acl in dashboard"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602013635Z level=debug msg="Skipping migration: Already executed" id="Add column uid in dashboard"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60201539Z level=debug msg="Skipping migration: Already executed" id="Update uid column values in dashboard"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602017021Z level=debug msg="Skipping migration: Already executed" id="Add unique index dashboard_org_id_uid"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60201919Z level=debug msg="Skipping migration: Already executed" id="Remove unique index org_id_slug"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602020751Z level=debug msg="Skipping migration: Already executed" id="Update dashboard title length"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602022903Z level=debug msg="Skipping migration: Already executed" id="Add unique index for dashboard_org_id_title_folder_id"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602024848Z level=debug msg="Skipping migration: Already executed" id="create dashboard_provisioning"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602027149Z level=debug msg="Skipping migration: Already executed" id="Rename table dashboard_provisioning to dashboard_provisioning_tmp_qwerty - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602028715Z level=debug msg="Skipping migration: Already executed" id="create dashboard_provisioning v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602033692Z level=debug msg="Skipping migration: Already executed" id="create index IDX_dashboard_provisioning_dashboard_id - v2"
